Location,Label,Latitude,Longitude
Elvanfoot,80,
Windyhill,81
Denny,82,
Longannet,83
Inverkip,84
Hunterston,85
Nielston,86
Strathaven,87
Torness,88
Eccles,89
Beauly,91
Blackhillock,92,,
Peterhead,93,,
Kintore,94,,
Tealing,95,,
Errochty,96,,
Rothienorman,97,,
Harker,9,,
Stella West,10,,
Penwortham,11,,
Deeside,12,,
Daines,13,,
Thorpe Marsh,14,,
Drax,15,,
Keadby,16,,
Ratcliffe,17,,
Feckenham,18,,
Walpole,19,,
Bramford,20,,
Pelham,21,,
East Claydon,22,,
Melksham,23,,
Bramley,24,,
London,25,,
Kemsley,26,,
Sellinge,27,,
Lovedean,28,,
Exeter,29,,
