Location,Label,Latitude,Longitude
Elvanfoot,80,55.4381297,-3.6583857
Windyhill,81,54.8658588,-7.365221410780022
Denny,82,56.0237411,-3.9081978
Longannet,83,56.05106295,-3.691240527132936
Inverkip,84,55.9060342,-4.8726993
Hunterston,85,-38.6184475,146.8087904825107
Nielston,86,Not found,Not found
Strathaven,87,55.676514,-4.0658238
Torness,88,57.3118391,-4.3600636
Eccles,89,50.2056124,4.1016247
Beauly,91,57.483651,-4.4598354
Blackhillock,92,57.4901151,-2.9054431
Peterhead,93,57.5052909,-1.7813194
Kintore,94,57.2369921,-2.3455269
Tealing,95,56.5331528,-2.959138
Errochty,96,56.76031765,-4.15628237263004
Rothienorman,97,57.4113653,-2.4644314
Harker,9,54.9372919,-2.9432011
Stella West,10,48.7261436,9.1118961
Penwortham,11,53.74143315,-2.7292367175458985
Deeside,12,18.3923411,-77.7389145
Daines,13,46.0414516,5.9303162
Thorpe Marsh,14,53.57574538930382,-1.1338704350275028
Drax,15,53.7254974,-0.9815376083863272
Keadby,16,53.5956035,-0.739716
Ratcliffe,17,51.5115396,-0.0442364
Feckenham,18,52.2509524,-1.9889981
Walpole,19,43.0794881,-72.4259454
Bramford,20,52.0754182,1.1005827
Pelham,21,33.285669,-86.8099884
East Claydon,22,51.9238187,-0.9285388
Melksham,23,51.3759342,-2.1314633093455035
Bramley,24,53.8118759,-1.6251903
London,25,51.4893335,-0.14405508452768728
Kemsley,26,51.3617377,0.7349601
Sellinge,27,51.37571045,0.589743015650289
Lovedean,28,50.9082753,-1.022611
Exeter,29,50.7256138,-3.5269209
